measurementTime: 2 secs
# JMH 1.10.3 (released 30 days ago)
# VM version: JDK 1.8.0_51, VM 25.51-b03
# VM invoker: /opt/jdk1.8.0_51/jre/bin/java
# VM options: -XX:MaxInlineSize=400 -Xmx1g -Dverbose:gc -Didea.launcher.port=7549 -Didea.launcher.bin.path=/opt/idea-IU-142.3371.3/bin -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: net.openhft.chronicle.wire.benchmarks.ComparisonMain.sbe

# Run progress: 0.00% complete, ETA 00:02:30
# Fork: 1 of 10
# Warmup Iteration   1: n = 33587, mean = 10920 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 164, 282, 461, 648, 15554, 94111, 23927390, 32899072 ns/op
# Warmup Iteration   2: n = 34644, mean = 191 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 122, 173, 183, 307, 463, 509, 2575, 6344 ns/op
# Warmup Iteration   3: n = 25528, mean = 169 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 151, 167, 176, 176, 178, 180, 927, 2368 ns/op
# Warmup Iteration   4: n = 13356, mean = 169 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 158, 167, 176, 176, 179, 181, 1313, 1840 ns/op
# Warmup Iteration   5: n = 13485, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 158, 167, 175, 176, 178, 181, 1462, 2112 ns/op
Iteration   1: n = 27586, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 151, 167, 175, 176, 178, 181, 291, 2132 ns/op
Iteration   2: n = 27368, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 151, 167, 176, 177, 178, 181, 269, 2028 ns/op
Iteration   3: n = 28250, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 150, 167, 176, 177, 178, 180, 269, 1846 ns/op
Iteration   4: n = 28238, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 150, 167, 176, 177, 178, 180, 257, 2156 ns/op
Iteration   5: n = 28247, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 150, 167, 176, 177, 178, 180, 557, 2736 ns/op

# Run progress: 10.00% complete, ETA 00:02:30
# Fork: 2 of 10
# Warmup Iteration   1: n = 31770, mean = 8703 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 171, 187, 319, 454, 14341, 103227, 20238667, 31621120 ns/op
# Warmup Iteration   2: n = 23030, mean = 182 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 167, 174, 183, 185, 459, 468, 2151, 7152 ns/op
# Warmup Iteration   3: n = 12277, mean = 179 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 166, 179, 185, 187, 189, 210, 1908, 1926 ns/op
# Warmup Iteration   4: n = 12739, mean = 179 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 166, 178, 186, 187, 189, 191, 302, 305 ns/op
# Warmup Iteration   5: n = 12149, mean = 179 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 165, 178, 185, 187, 189, 199, 289, 291 ns/op
Iteration   1: n = 25973, mean = 179 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 167, 179, 186, 187, 189, 197, 303, 1902 ns/op
Iteration   2: n = 25859, mean = 179 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 158, 179, 186, 187, 189, 191, 966, 2116 ns/op
Iteration   3: n = 26258, mean = 179 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 167, 179, 185, 187, 189, 191, 1995, 2564 ns/op
Iteration   4: n = 26124, mean = 179 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 167, 179, 186, 187, 189, 191, 1926, 2176 ns/op
Iteration   5: n = 26248, mean = 179 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 166, 179, 186, 187, 189, 191, 255, 279 ns/op

# Run progress: 20.00% complete, ETA 00:02:12
# Fork: 3 of 10
# Warmup Iteration   1: n = 26157, mean = 8727 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 161, 176, 452, 460, 15990, 143076, 22173516, 33128448 ns/op
# Warmup Iteration   2: n = 19420, mean = 2434 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 149, 170, 184, 330, 839, 1396, 20477428, 23101440 ns/op
# Warmup Iteration   3: n = 12579, mean = 1085 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 149, 167, 175, 176, 178, 194, 8558542, 11534336 ns/op
# Warmup Iteration   4: n = 13583, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 148, 167, 175, 176, 178, 182, 243, 249 ns/op
# Warmup Iteration   5: n = 13427, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 143, 167, 175, 176, 178, 200, 300, 303 ns/op
Iteration   1: n = 27395, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 148, 167, 175, 177, 178, 217, 275, 2072 ns/op
Iteration   2: n = 27561, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 149, 167, 175, 176, 178, 182, 240, 1842 ns/op
Iteration   3: n = 28176, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 147, 167, 175, 176, 178, 182, 389, 2000 ns/op
Iteration   4: n = 28073, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 148, 167, 175, 177, 178, 183, 706, 1948 ns/op
Iteration   5: n = 28197, mean = 168 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 149, 167, 175, 176, 178, 183, 564, 1908 ns/op

# Run progress: 30.00% complete, ETA 00:01:56
# Fork: 4 of 10
# Warmup Iteration   1: n = 24288, mean = 9320 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 158, 180, 457, 670, 19331, 358545, 18125364, 33030144 ns/op
# Warmup Iteration   2: n = 19018, mean = 187 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 160, 166, 175, 369, 467, 504, 1917, 2204 ns/op
# Warmup Iteration   3: n = 12599, mean = 171 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 151, 169, 178, 179, 180, 226, 4011, 5312 ns/op
# Warmup Iteration   4: n = 13487, mean = 170 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 161, 169, 178, 179, 181, 197, 1332, 1882 ns/op
# Warmup Iteration   5: n = 13091, mean = 171 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 160, 169, 178, 178, 180, 198, 260, 264 ns/op
Iteration   1: n = 27560, mean = 171 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 161, 169, 178, 178, 179, 184, 259, 1958 ns/op
Iteration   2: n = 27991, mean = 170 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 161, 169, 178, 178, 181, 185, 249, 274 ns/op
Iteration   3: n = 27998, mean = 171 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 160, 170, 178, 179, 181, 184, 295, 4560 ns/op
Iteration   4: n = 28000, mean = 171 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 160, 170, 178, 179, 181, 184, 1886, 4416 ns/op
Iteration   5: n = 27890, mean = 170 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 161, 169, 177, 178, 180, 184, 649, 5056 ns/op

# Run progress: 40.00% complete, ETA 00:01:39
# Fork: 5 of 10
# Warmup Iteration   1: n = 32229, mean = 7636 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 160, 174, 456, 469, 12467, 111729, 18871960, 27983872 ns/op
# Warmup Iteration   2: n = 19842, mean = 187 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 159, 169, 177, 362, 462, 486, 837, 1870 ns/op
