measurementTime: 2 secs
# JMH 1.10.3 (released 30 days ago)
# VM version: JDK 1.8.0_51, VM 25.51-b03
# VM invoker: /opt/jdk1.8.0_51/jre/bin/java
# VM options: -XX:MaxInlineSize=400 -Xmx1g -Didea.launcher.port=7561 -Didea.launcher.bin.path=/opt/idea-IU-142.3371.3/bin -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: net.openhft.chronicle.wire.benchmarks.Main.twire8bit

# Run progress: 0.00% complete, ETA 00:02:30
# Fork: 1 of 10
# Warmup Iteration   1: n = 8503, mean = 116384 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 14160, 31488, 63334, 117862, 425431, 19035587, 40173568, 40173568 ns/op
# Warmup Iteration   2: n = 18700, mean = 28441 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3060, 3348, 6592, 12752, 13104, 7099605, 39671392, 63963136 ns/op
# Warmup Iteration   3: n = 18212, mean = 3655 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3076, 3172, 3228, 3264, 3412, 5613, 1545926, 8585216 ns/op
# Warmup Iteration   4: n = 19270, mean = 3997 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3092, 3168, 3192, 3200, 3252, 5014, 1173078, 16007168 ns/op
# Warmup Iteration   5: n = 18429, mean = 3974 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3092, 3168, 3196, 3208, 3240, 5188, 2343829, 14860288 ns/op
Iteration   1: n = 39555, mean = 3163 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3092, 3164, 3196, 3204, 3240, 3449, 7234, 8784 ns/op
Iteration   2: n = 39488, mean = 3166 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3092, 3168, 3196, 3204, 3244, 3490, 7039, 10768 ns/op
Iteration   3: n = 39569, mean = 3165 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3092, 3168, 3196, 3204, 3240, 3702, 5830, 39360 ns/op
Iteration   4: n = 20037, mean = 3167 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3088, 3168, 3192, 3200, 3236, 5247, 8640, 9872 ns/op
Iteration   5: n = 19225, mean = 3164 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3092, 3168, 3196, 3208, 3252, 3399, 5855, 5936 ns/op

# Run progress: 10.00% complete, ETA 00:02:28
# Fork: 2 of 10
# Warmup Iteration   1: n = 8303, mean = 118953 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 12112, 27136, 71296, 116992, 425411, 16550724, 39845888, 39845888 ns/op
# Warmup Iteration   2: n = 25257, mean = 20081 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3200, 3296, 6232, 8049, 10048, 89333, 34842123, 40042496 ns/op
# Warmup Iteration   3: n = 26918, mean = 6935 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3132, 3192, 3252, 3324, 3372, 5955, 24029040, 27983872 ns/op
# Warmup Iteration   4: n = 19264, mean = 3195 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3168, 3192, 3196, 3248, 3268, 3637, 8154, 8784 ns/op
# Warmup Iteration   5: n = 19463, mean = 4121 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3168, 3188, 3196, 3200, 3264, 3402, 2827223, 16007168 ns/op
Iteration   1: n = 39111, mean = 3489 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3072, 3188, 3192, 3200, 3268, 4447, 8539, 11599872 ns/op
Iteration   2: n = 39190, mean = 3194 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3168, 3188, 3196, 3196, 3264, 3398, 5851, 90240 ns/op
Iteration   3: n = 37650, mean = 4019 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3144, 3188, 3196, 3252, 3272, 5016, 10210, 16007168 ns/op
Iteration   4: n = 39643, mean = 3193 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 2716, 3188, 3196, 3196, 3268, 4947, 5817, 7128 ns/op
Iteration   5: n = 39630, mean = 3194 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3164, 3188, 3196, 3244, 3268, 4992, 8051, 9200 ns/op

# Run progress: 20.00% complete, ETA 00:02:12
# Fork: 3 of 10
# Warmup Iteration   1: n = 8096, mean = 124384 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 16992, 33248, 82086, 126976, 431181, 18943984, 32702464, 32702464 ns/op
# Warmup Iteration   2: n = 21706, mean = 23934 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3236, 3372, 6562, 12864, 14864, 242618, 32041511, 69599232 ns/op
# Warmup Iteration   3: n = 28997, mean = 4940 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 3156, 3188, 3404, 3468, 3552, 5288, 7633528, 21331968 ns/op
